FitMethod,TemporalRes,sigmaC,q5Kt,q25Kt,q50Kt,q75Kt,q95Kt,q5Ve,q25Ve,q50Ve,q75Ve,q95Ve,q5Kep,q25Kep,q50Kep,q75Kep,q95Kep,q5Vp,q25Vp,q50Vp,q75Vp,q95Vp
ETM,10.000000,0.000000,-29.511481,-10.944554,-2.107194,9.348457,46.908726,-12.235397,-3.308095,-0.768906,2.127394,11.726261,-22.370687,-9.136628,-0.872699,9.388192,35.464063,-215.965123,-19.311178,1.451381,29.559649,259.748792
ERTM,10.000000,0.000000,-41.479079,-8.743761,-0.535169,1.444717,10.459399,-23.067274,-2.984740,-0.325820,0.724107,9.691934,-30.629207,-5.281154,-0.124491,1.018266,6.751715,-46.088272,-11.446438,11.325258,38.497837,61.527512
RTM,10.000000,0.000000,3.305585,6.865223,26.106866,71.776022,216.931660,-4.859422,1.607826,6.333616,23.723064,71.129664,2.390170,4.973054,16.191020,38.314244,143.953732,NaN,NaN,NaN,NaN,NaN
CERRM,10.000000,0.000000,-14.353129,-2.252396,-0.074729,1.643313,12.705538,-9.015422,-1.240982,-0.065995,0.807039,7.099556,-10.264278,-0.988568,0.056334,1.014545,9.195723,-23.016154,-13.511075,1.548387,15.564464,42.308541
ERRM,10.000000,0.000000,-25.143143,-3.533049,-0.220519,2.888323,32.027653,-19.954475,-2.399950,-0.163568,1.325575,15.733295,-23.860951,-2.358256,-0.060966,2.848578,185.665244,-26.248095,-16.494517,1.384392,18.462017,45.989673
TM,10.000000,0.000000,-10.438689,7.721385,30.498204,78.886741,236.588522,-4.975628,1.579068,7.194848,22.328330,71.837210,-11.134766,4.266381,19.236823,45.785929,146.390102,NaN,NaN,NaN,NaN,NaN
RRM,10.000000,0.000000,0.780559,7.564108,26.900648,92.987587,264.909400,-6.254539,2.538730,9.905107,25.430318,97.246914,-492.007188,-7.931387,10.443704,50.741956,445.512127,NaN,NaN,NaN,NaN,NaN
CRRM,10.000000,0.000000,3.329771,7.215992,26.864661,72.896946,217.457538,-5.809034,1.935018,6.229964,24.031451,71.757388,4.792991,7.689094,19.282238,42.530490,147.817645,NaN,NaN,NaN,NaN,NaN
ETM,11.000000,0.000000,-39.477516,-15.322636,-2.971772,12.449589,67.784426,-18.156950,-4.241985,-1.192226,2.586909,15.566611,-31.066944,-12.969613,-1.651012,13.225459,49.137931,-281.113648,-25.090918,2.017071,43.421167,341.429098
ERTM,11.000000,0.000000,-45.374149,-9.297978,-0.364036,2.421477,15.298956,-25.832313,-3.238496,-0.296687,1.470757,14.327866,-36.315809,-5.660912,-0.017184,1.474567,9.511441,-64.179247,-20.498027,10.625042,45.981906,72.966301
RTM,11.000000,0.000000,3.329968,6.981912,26.111290,72.636762,221.063631,-4.880744,1.605717,6.217203,23.549885,71.012835,2.296497,4.857332,15.929354,37.862214,147.839057,NaN,NaN,NaN,NaN,NaN
CERRM,11.000000,0.000000,-21.914872,-3.336259,-0.154282,2.361066,17.419881,-12.540782,-1.698613,-0.073172,1.258250,10.642431,-17.533580,-1.560159,0.008055,1.381515,12.421827,-32.827176,-20.166608,1.904577,22.489971,59.392302
ERRM,11.000000,0.000000,-33.284970,-4.592759,-0.319051,3.734747,36.910236,-20.901658,-3.237356,-0.212234,1.836866,20.271590,-29.187883,-3.167511,-0.109302,3.810812,180.330581,-36.482388,-24.153673,1.441346,25.986960,58.583594
TM,11.000000,0.000000,-16.351087,5.620416,34.734391,85.330854,254.442663,-4.795279,1.320646,7.108528,22.005327,72.706251,-16.191535,1.563284,22.211622,53.728988,155.354655,NaN,NaN,NaN,NaN,NaN
RRM,11.000000,0.000000,-4.307941,7.226611,26.689389,87.976567,251.139344,-5.760568,2.524741,9.756266,25.404703,96.124873,-545.568535,-9.179804,9.907401,45.118699,423.551343,NaN,NaN,NaN,NaN,NaN
CRRM,11.000000,0.000000,3.193502,7.015511,26.379704,72.473663,217.466228,-5.724141,1.918283,6.203210,23.941204,71.619000,4.409505,7.085124,18.291994,40.626984,146.389367,NaN,NaN,NaN,NaN,NaN
